建物種別,駅名,月額
賃貸マンション,西早稲田,19.96
賃貸マンション,西横浜,14.92
賃貸マンション,西永福,14.5
賃貸マンション,西船橋,13.76
賃貸マンション,西荻窪,18.98
賃貸マンション,西調布,12.0
賃貸マンション,西谷,13.3
賃貸マンション,西馬込,16.97
賃貸マンション,要町,17.87
賃貸マンション,見沼代親水公園,11.8
賃貸マンション,調布,16.33
賃貸マンション,護国寺,19.57
賃貸マンション,谷在家,12.0
賃貸マンション,豊四季,11.85
賃貸マンション,豊島園,20.2
賃貸マンション,豊洲,22.07
賃貸マンション,豪徳寺,18.67
賃貸マンション,赤土小学校前,14.82
賃貸マンション,赤坂,28.4
賃貸マンション,赤坂見附,35.58
賃貸マンション,赤羽,16.89
賃貸マンション,赤羽岩淵,17.62
賃貸マンション,赤羽橋,22.34
賃貸マンション,越中島,17.6
賃貸マンション,足立小台,19.37
賃貸マンション,辻堂,13.26
賃貸マンション,都立大学,20.08
賃貸マンション,都立家政,12.5
賃貸マンション,都筑ふれあいの丘,11.94
賃貸マンション,野方,14.99
賃貸マンション,金沢八景,11.1
賃貸マンション,金町,12.5
賃貸マンション,鈴木町,12.55
賃貸マンション,銀座,23.8
賃貸マンション,錦糸町,19.03
賃貸マンション,鐘ヶ淵,16.72
賃貸マンション,長原,18.7
賃貸マンション,長津田,11.4
賃貸マンション,門前仲町,18.99
賃貸マンション,関内,15.62
賃貸マンション,阪東橋,14.62
賃貸マンション,阿佐ケ谷,18.56
賃貸マンション,雑司が谷,16.47
賃貸マンション,雑色,16.23
賃貸マンション,雪が谷大塚,16.94
賃貸マンション,青井,12.1
賃貸マンション,青山一丁目,27.33
賃貸マンション,青物横丁,18.83
賃貸マンション,青砥,14.15
賃貸マンション,青葉台,20.61
賃貸マンション,飛田給,12.55
賃貸マンション,飯田橋,26.59
賃貸マンション,馬喰横山,23.1
賃貸マンション,馬喰町,22.25
賃貸マンション,馬橋,11.5
賃貸マンション,馬車道,21.65
賃貸マンション,馬込,16.64
賃貸マンション,駒場東大前,21.6
賃貸マンション,駒沢大学,22.18
賃貸マンション,駒込,17.57
賃貸マンション,高井戸,17.73
賃貸マンション,高円寺,18.44
賃貸マンション,高島平,13.23
賃貸マンション,高島町,16.98
賃貸マンション,高津,13.23
賃貸マンション,高田,13.21
賃貸マンション,高田馬場,19.04
賃貸マンション,高輪ゲートウェイ,19.8
賃貸マンション,高輪台,21.65
賃貸マンション,鮫洲,18.62
賃貸マンション,鳩ヶ谷,11.6
賃貸マンション,鴨居,13.5
賃貸マンション,鵜の木,14.9
賃貸マンション,鵠沼海岸,13.48
賃貸マンション,鶯谷,18.04
賃貸マンション,鶴見,15.54
賃貸マンション,鶴見市場,14.15
賃貸マンション,鷺ノ宮,15.98
賃貸マンション,鷺沼,15.96
賃貸マンション,麹町,28.36
賃貸マンション,麻布十番,28.93
賃貸マンション,黄金町,13.99
